listing_id,latitude,longitude,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,number_of_reviews_ly,estimated_occupancy_l365d,estimated_revenue_l365d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month,comment_score
67774,0.7393158474265985,0.6183448177876328,-0.1481306178834426,-0.4244894690894157,-0.4173343410702989,0.0613866092095021,195.0,2.3763064846508453,-0.6811738343036495,2.5461751277005478,0.4661650655382645,-0.0371592210423316,-0.049879286432415,2.332006564068971,-0.0480789275340915,-1.1772051872492235,-1.414838714476804,-1.6223140161720135,0.3819042049718994,-0.0622148268722935,-0.5509708308028823,-0.4171574169780084,-0.5504055065129474,0.8626559137763771,0.6989586275797415,0.3020312105848866,0.2296130336188069,-0.1617773544328378,0.1696662933271459,0.3326854752771556,0.7623409546441074,0.5397251886946238,-0.8732747310445002,0.41659234346056373
77681,1.5158097462983957,0.5657781955203294,-0.5573231167891899,-0.4244894690894157,-0.4173343410702989,-0.5784100333274638,140.0,0.2504947616690726,0.5038507895551099,0.3036925732351817,-0.2141456831060365,-0.0371533223403837,-0.0498748873697634,0.2087938220288954,-0.048073646795704,1.5602648166956394,1.4866766182198874,1.415215246826962,1.3531494253214,0.1483450363608486,-0.5926878673835151,-0.4171574169780084,-0.5921232832902124,-0.930145963448145,-0.6633878399003493,-1.1957185094007057,-0.9075713072010546,-1.1716574505688049,-1.4454728852919074,-1.2960487624607018,-0.0994243277415109,-0.6001455028545883,-0.8166868759457137,0.3631013651747702
77691,-1.336806167112019,0.697666906478339,-0.5573231167891899,0.4261311410693195,-1.2877608247172077,-0.5784100333274638,95.0,0.2504947616690726,-0.4164342906756288,0.3036925732351817,-0.2141456831060365,-0.0371579032472156,-0.0498783036630992,0.2087938220288954,-0.0480777477946645,1.4690158165641438,1.4383180293416091,1.3814649216825288,1.3441564140218676,2.3783654060573096,-0.4258197210609838,-0.4171574169780084,-0.4252521761811525,1.3551839020248722,0.1826565710114906,-1.0397029135688731,-1.01095170182104,-1.2347749565773012,-0.8851184763832567,-0.8255255382253213,-2.0987197828761457,-0.5187261677439297,-0.0527508321120954,0.34337108563255225
163941,-0.2894671996539559,-0.3942708937899005,1.0794468788337994,-0.4244894690894157,0.4530921425766098,0.701183251746468,192.0,-0.6409746705490902,-0.4164342906756288,-0.7090414836201447,-0.4774917793554433,-0.0371579032472156,-0.0498783036630992,-0.6815857149556522,-0.0480777477946645,-0.1734661858027739,-0.0607982258850147,-0.2048003601058249,-1.0389915803542218,2.311369085937673,0.533672120293571,0.9696711360735376,0.3673855825868817,0.665644718476979,0.5305942543374851,-0.1036093385778779,0.1951529020788118,0.1853689286139015,0.1367042692736936,0.1879090985893459,-0.9956602214225564,0.1597682915115539,-0.0414332610923381,0.387947428503312
179244,-1.336806167112019,0.697666906478339,-0.5573231167891899,-0.4244894690894157,-0.4173343410702989,-0.5784100333274638,67.0,0.2504947616690726,-0.4164342906756288,0.3036925732351817,-0.2141456831060365,-0.0371579032472156,-0.0498783036630992,0.2087938220288954,-0.0480777477946645,-1.1772051872492235,-1.414838714476804,-1.6223140161720135,-0.7242361848705874,0.5216102484559644,-0.5926878673835151,-0.4171574169780084,-0.5504055065129474,-0.930145963448145,-0.6633878399003493,-0.946093556069773,-0.9420314387410496,-1.4241274746027963,-1.0499285966505063,-1.1874664799448469,-2.4434258958303947,-0.7087046163354659,-0.6808760237086259,0.36043186625588913
184893,1.500822272147438,0.438296267267856,0.2610618810223047,-0.4244894690894157,-0.4173343410702989,-0.5784100333274638,213.0,2.3763064846508453,1.1846096160271633,2.5461751277005478,0.4661650655382645,-0.0371499337243711,-0.0498723602486656,2.332006564068971,-0.0480706131800346,1.5602648166956394,1.4866766182198874,1.415215246826962,-1.1199286820500136,-0.5311890677097467,-0.5926878673835151,-0.4171574169780084,-0.5921232832902124,-0.930145963448145,-0.6633878399003493,2.771393707089812e-15,0.0,5.60596067420408e-15,0.0,3.214681336412217e-15,0.0,0.0,-1.2565027928964974e-16,0.0
197727,-0.8158130180527742,-1.2246346634953362,-0.9665156156949372,-0.4244894690894157,-0.4173343410702989,-0.5784100333274638,50.0,0.2847820475236173,-1.10979976208235,0.3398616466943004,-0.2031729290956445,-0.0371613546153766,-0.0498808775827358,0.2430391888359933,-0.0480808375884019,-1.1772051872492235,-1.414838714476804,-1.4198120653054151,-0.3825017554883557,0.0813487162412124,-0.3423856478997182,0.2762568595477645,-0.3418166226266226,1.58174677661918,-0.1739565223356506,0.7076717597476513,0.5742143490187667,0.6587502236776339,0.4992865338616453,0.4774618519649652,0.4865760642807093,0.8925423075074774,-0.8393220179852283,0.4173896512848975
197972,-0.7437304042787711,-0.898532743322781,-0.5573231167891899,-0.4244894690894157,-0.4173343410702989,-0.5784100333274638,107.0,-0.6409746705490902,-0.958520022866338,-0.672872410161026,-0.4994372873762272,-0.037160601589596,-0.0498803160002696,-0.6815857149556522,-0.0480801634515864,-0.6297111864602511,-0.8345356479374658,-0.9473075132833524,-1.3357609532387915,4.60838577575377,1.5765980348093915,-0.4171574169780084,1.6189188859048305,1.58174677661918,0.3839951796881059,0.4580468064167187,0.5052940859387736,0.5009564586563898,0.3674384376478449,0.4412677577930104,0.5210466755761333,0.5397251886946238,0.8017257798795812,0.38754947353296804
205894,-1.336806167112019,0.697666906478339,-0.5573231167891899,0.4261311410693195,1.3235186262235186,-0.5784100333274638,95.0,0.2504947616690726,-0.4164342906756288,0.3036925732351817,-0.2141456831060365,-0.0371579032472156,-0.0498783036630992,0.2087938220288954,-0.0480777477946645,1.4690158165641438,1.14816649607194,1.1789629708159306,1.290198346224673,1.5456968559989743,-0.5092537942222495,-0.4171574169780084,-0.5086877297356824,0.2125189692883635,-0.2403656344444293,-0.9148904369034072,-0.5974301233410899,-0.7613936615135688,-0.720308356116007,-0.8255255382253213,-1.7884842812173236,-0.4373068326332709,-0.3130549655665134,0.3504787487868233
210097,-0.6894900216370172,-0.8487990527948787,-0.5573231167891899,-0.4244894690894157,-1.2877608247172077,-0.5784100333274638,106.0,-0.6409746705490902,-1.1854396316903557,-0.7090414836201447,-0.4994372873762272,-0.0371617311282669,-0.0498811583739689,-0.6815857149556522,-0.0480811746568096,-1.0859561871177283,-0.882894236815744,-1.0148081635722184,-0.6432990831747957,2.4740744347996464,0.3668039739710398,-0.4171574169780084,0.3673855825868817,0.4292312841177014,-0.1018661682661208,0.4580468064167187,0.5052940859387736,0.3431626936351456,0.268552365487494,0.3326854752771556,0.5555172868715573,0.5940047454350638,0.0208133795163269,0.35864556792846936
